LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-120.0999131,38.4643168,4710,CABBAGE PATCH LOG RD,,,,,,,a6a037a9cceb5acf
-120.0777006,38.4427264,18415,HWY 4,,,,,,,eb7e480d7ba20f76
-120.0713548,38.4393674,18280,HWY 4,,,,,,,1c7dfb1974a1f8b5
-120.0723256,38.4418013,18440,HWY 4,,,,,,,80bcf2036360e3da
-120.127016,38.4226846,550,CABBAGE PATCH LOG RD,,,,,,,22051f0f37b376e2
-120.1198518,38.4308718,1225,CABBAGE PATCH LOG RD,,,,,,,8dc60865b64554d6
-120.076481,38.4247084,17500,E HWY 4,,,,,,,662ed37719223f02
-120.1301521,38.4227379,553,CABBAGE PATCH LOG RD,,,,,,,b76cbf8a82e54f9c
-120.1316938,38.4201254,378,CABBAGE PATCH LOG RD,,,,,,,82ec8b34676fcd30
-120.1348717,38.4201527,305,CABBAGE PATCH LOG RD,,,,,,,a60e7bdf4fe2882d
-120.1016946,38.4296523,1517,ALPINE VISTA,,,,,,,eb6a15efa7dbf4a0
-120.0994148,38.4295647,1576,SKYLINE DR,,,,,,,90f28d991aea4fd7
-120.0989541,38.4297813,1593,SKYLINE DR,,,,,,,fb1ebde10d4ba2fb
-120.0984738,38.429678,1625,SKYLINE DR,,,,,,,ca2fd056c9e48b56
-120.0985064,38.429111,1622,SKYLINE DR,,,,,,,22e2e80c9f81610c
-120.0981789,38.4289652,1636,SKYLINE DR,,,,,,,a440af873f820604
-120.0981302,38.4283711,1248,SPRING VALLEY RD,,,,,,,da1429afaf0e0c58
-120.0984053,38.4285579,1264,SPRING VALLEY RD,,,,,,,eee2c894dd4bba98
-120.0994714,38.4293254,1334,SPRING VALLEY RD,,,,,,,00b999ade4c7b09f
-120.0999961,38.4291805,1354,SPRING VALLEY RD,,,,,,,a34724071b5d6b5f
-120.1007417,38.4290748,1546,ALPINE VISTA,,,,,,,3817dc84ad009628
-120.1011876,38.4290751,1514,ALPINE VISTA,,,,,,,e3e09ac6c5bc8474
-120.1018478,38.4288377,1487,ALPINE VISTA,,,,,,,d9e1d86de97b665b
-120.1011872,38.4287426,1482,ALPINE VISTA,,,,,,,944777da227bde0e
-120.1007367,38.4287665,1455,SKYLINE DR,,,,,,,ad83f037879bff35
-120.0994735,38.428529,1297,SPRING VALLEY RD,,,,,,,148d4c646397741a
-120.1007884,38.4283843,1437,SKYLINE DR,,,,,,,ad9714e9d9883ed3
-120.1011739,38.4284184,1462,ALPINE VISTA,,,,,,,cb95145dc5637cd9
-120.1018357,38.4283011,1453,ALPINE VISTA,,,,,,,748c9a2c682c9d88
-120.1007238,38.4280579,1411,SKYLINE DR,,,,,,,bbd7a89a68d80515
-120.1000356,38.4282214,1418,SKYLINE DR,,,,,,,26c87e26864dbe52
-120.0993406,38.4283174,1283,SPRING VALLEY RD,,,,,,,ac34a67ffe073b6a
-120.0991679,38.4281158,1265,SPRING VALLEY RD,,,,,,,21314cb352f7f2cb
-120.0999721,38.4279564,1402,SKYLINE DR,,,,,,,d9cbe057eeba6461
-120.1007078,38.4277604,1395,SKYLINE DR,,,,,,,1f6bf860c5254601
-120.1011504,38.4277698,1422,ALPINE VISTA,,,,,,,34ce4b1991f78007
-120.1018231,38.4277583,1419,ALPINE VISTA,,,,,,,fe0a7f656954e63c
-120.0965829,38.4295328,1725,SKYLINE DR,,,,,,,ffc35f00792f89ce
-120.0962317,38.4297809,1755,SKYLINE DR,,,,,,,11bd7438d868cb62
-120.0954473,38.4297512,1760,SKYLINE DR,,,,,,,7375a60cda61b80b
-120.0948796,38.4294935,1050,MOUNTAIN VIEW,,,,,,,58e26030076fe7a6
-120.0945661,38.4295793,1030,MOUNTAIN VIEW,,,,,,,cc9068750e8def5a
